Sistema de Información Energética,,,,,,,,,,,,,
Secretaría de Energía,,,,,,,,,,,,,
Dirección General de Planeación e Información Energéticas,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
Balance Nacional de Energía: Por fuente de energía primaria,,,,,,,,,,,,,
,,,,,,,,,,,,,
(petajoules),,,,,,,,,,,,,
,,,,,,,,,,,,,
,Carbón,Petróleo crudo,Condensados,Gas natural,Nucleo-energía,Hidro-energía,Geoenergía,Energía solar,Energía eólica,Bagazo de caña,Leña,Biogás,Total de energía primaria
2019,,,,,,,,,,,,,
,,,,,,,,,,,,,
Producción,230.461,3788.641,60.487,1466.036,124.817,84.989,112.883,40.315,60.216,113.249,247.919,2.799,6332.812
De otras fuentes,0,0,0,684.327,0,0,0,0,0,0,0,0,684.327
Gas residual de plantas de gas,0,0,0,369.209,0,0,0,0,0,0,0,0,369.209
Gas de formación empleado por PEP,0,0,0,315.118,0,0,0,0,0,0,0,0,315.118
Importación,275.146,0.000,0,0,0,0,0,0,0,0,0,0,275.146
Variación de inventarios,3.693,41.625,5.886,21.153,0,0,0,0,0,0,0,0,72.358
Oferta total,509.300,3830.266,66.373,2171.516,124.817,84.989,112.883,40.315,60.216,113.249,247.919,2.799,7364.643
Exportación,-0.135,-2465.319,0.000,0,0,0,0,0,0,0,0,0,-2465.454
No aprovechada,0,-0.878,0.000,-222.025,0,0,0,0,0,-1.246,0,0,-224.148
Maquila-intercambio neto,0,0.000,0,0,0,0,0,0,0,0,0,0,0.000
Oferta interna bruta,509.165,1364.069,66.373,1949.491,124.817,84.989,112.883,40.315,60.216,112.003,247.919,2.799,4675.041
,,,,,,,,,,,,,
Total transformación,-387.477,-1287.501,-66.372,-1311.252,-124.817,-84.989,-112.883,-40.315,-60.216,-75.569,0,-2.799,-3554.190
Coquizadoras,-37.048,0,0,0,0,0,0,0,0,0,0,0,-37.048
Refinerías y despuntadoras,0,-1287.501,-33.369,0,0,0,0,0,0,0,0,0,-1320.870
Plantas de gas y fraccionadoras,0,0,-33.003,-1311.252,0,0,0,0,0,0,0,0,-1344.255
Centrales eléctricas CFE,-284.193,0,0,0,-124.817,-79.450,-110.704,-0.036,-0.264,0,0,0,-599.463
Centrales eléctricas PEMEX,0,0,0,0,0,0,0,0,0,0,0,0,0
Centrales eléctricas PIE,0,0,0,0,0,0,0,0,-8.400,0,0,0,-8.400
