Sistema de Información Energética,,,,,,,,,,,,,
Secretaría de Energía,,,,,,,,,,,,,
Dirección General de Planeación e Información Energéticas,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
Balance Nacional de Energía: Por fuente de energía primaria,,,,,,,,,,,,,
,,,,,,,,,,,,,
(petajoules),,,,,,,,,,,,,
,,,,,,,,,,,,,
,Carbón,Petróleo crudo,Condensados,Gas natural,Nucleo-energía,Hidro-energía,Geoenergía,Energía solar,Energía eólica,Bagazo de caña,Leña,Biogás,Total de energía primaria
2009,,,,,,,,,,,,,
,,,,,,,,,,,,,
Producción,254.668,6075.307,86.076,2390.026,112.745,96.199,152.692,4.100,2.147,89.233,260.678,1.067,9524.940
De otras fuentes,0,0,0,750.521,0,0,0,0,0,0,0,0,750.521
Gas residual de plantas de gas,0,0,0,484.799,0,0,0,0,0,0,0,0,484.799
Gas de formación empleado por PEP,0,0,0,265.722,0,0,0,0,0,0,0,0,265.722
Importación,173.824,0.000,0,0,0,0,0,0,0,0,0,0,173.824
Variación de inventarios,-1.679,17.885,-0.650,-3.440,0,0,0,0,0,0,0,0,12.116
Oferta total,426.813,6093.192,85.427,3137.106,112.745,96.199,152.692,4.100,2.147,89.233,260.678,1.067,10461.401
Exportación,-1.235,-2876.397,0.000,0,0,0,0,0,0,0,0,0,-2877.632
No aprovechada,0,-0.329,0.000,-290.240,0,0,0,0,0,-0.976,0,0,-291.544
Maquila-intercambio neto,0,0.000,0,0,0,0,0,0,0,0,0,0,0.000
Oferta interna bruta,425.578,3216.466,85.427,2846.867,112.745,96.199,152.692,4.100,2.147,88.258,260.678,1.067,7292.225
,,,,,,,,,,,,,
Total transformación,-371.114,-3180.308,-85.427,-1851.195,-112.745,-96.199,-152.692,-4.100,-2.147,-44.738,0,-1.067,-5901.731
Coquizadoras,-52.986,0,0,0,0,0,0,0,0,0,0,0,-52.986
Refinerías y despuntadoras,0,-3180.308,-4.600,0,0,0,0,0,0,0,0,0,-3184.908
Plantas de gas y fraccionadoras,0,0,-80.827,-1851.195,0,0,0,0,0,0,0,0,-1932.022
Centrales eléctricas CFE,-317.607,0,0,0,-112.745,-95.202,-152.692,0.000,-0.897,0,0,0,-679.143
Centrales eléctricas PEMEX,0,0,0,0,0,0,0,0,0,0,0,0,0
Centrales eléctricas PIE,0,0,0,0,0,0,0,0,0.000,0,0,0,0.000
Centrales eléctricas Autoabasto,-0.521,0,0,0,0,-0.997,0.000,-0.093,-1.250,-44.738,0,-1.067,-48.666
Centrales eléctricas de Pequeños Productores,0,0,0,0,0,0.000,0,0.000,0.000,0,0,0,0.000
Centrales eléctricas de Cogeneración,0,0,0,0,0,0,0,0,0,0.000,0,0.000,0.000
Centrales eléctricas con Modalidad de Generación (LIE),0,0,0,0,0,0.000,0,0.000,0.000,0.000,0,0.000,0.000
Centrales eléctricas UPC,0,0,0,0,0,0,0,0,0,0.000,0,0,0.000
Generación Distribuida,0,0,0,0,0,0,0,,0,0,0,0,
