Sistema de Información Energética,,,,,,,,,,,,,
Secretaría de Energía,,,,,,,,,,,,,
Dirección General de Planeación e Información Energéticas,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
Balance Nacional de Energía: Por fuente de energía primaria,,,,,,,,,,,,,
,,,,,,,,,,,,,
(petajoules),,,,,,,,,,,,,
,,,,,,,,,,,,,
,Carbón,Petróleo crudo,Condensados,Gas natural,Nucleo-energía,Hidro-energía,Geoenergía,Energía solar,Energía eólica,Bagazo de caña,Leña,Biogás,Total de energía primaria
2014,,,,,,,,,,,,,
,,,,,,,,,,,,,
Producción,303.730,5597.198,106.308,2079.452,100.596,140.014,129.878,8.735,23.134,109.163,254.117,1.926,8854.252
De otras fuentes,0,0,0,763.469,0,0,0,0,0,0,0,0,763.469
Gas residual de plantas de gas,0,0,0,500.763,0,0,0,0,0,0,0,0,500.763
Gas de formación empleado por PEP,0,0,0,262.706,0,0,0,0,0,0,0,0,262.706
Importación,210.828,0.000,0,0,0,0,0,0,0,0,0,0,210.828
Variación de inventarios,4.855,-257.035,2.262,-10.329,0,0,0,0,0,0,0,0,-260.248
Oferta total,519.412,5340.163,108.570,2832.592,100.596,140.014,129.878,8.735,23.134,109.163,254.117,1.926,9568.301
Exportación,-0.104,-2646.055,-4.628,0,0,0,0,0,0,0,0,0,-2650.786
No aprovechada,0,0.000,0.000,-104.047,0,0,0,0,0,-1.201,0,0,-105.248
Maquila-intercambio neto,0,0.000,0,0,0,0,0,0,0,0,0,0,0.000
Oferta interna bruta,519.308,2694.108,103.942,2728.545,100.596,140.014,129.878,8.735,23.134,107.962,254.117,1.926,6812.267
,,,,,,,,,,,,,
Total transformación,-442.293,-2674.841,-103.942,-1878.234,-100.596,-140.014,-129.878,-8.735,-23.134,-68.149,0,-1.926,-5571.743
Coquizadoras,-84.354,0,0,0,0,0,0,0,0,0,0,0,-84.354
Refinerías y despuntadoras,0,-2674.841,-2.345,0,0,0,0,0,0,0,0,0,-2677.186
Plantas de gas y fraccionadoras,0,0,-101.597,-1878.234,0,0,0,0,0,0,0,0,-1979.832
Centrales eléctricas CFE,-356.842,0,0,0,-100.596,-137.321,-129.878,-0.046,-0.766,0,0,0,-725.449
Centrales eléctricas PEMEX,0,0,0,0,0,0,0,0,0,0,0,0,0
Centrales eléctricas PIE,0,0,0,0,0,0,0,0,-6.712,0,0,0,-6.712
Centrales eléctricas Autoabasto,-1.096,0,0,0,0,-2.693,0.000,-0.625,-15.657,-68.149,0,-1.926,-90.146
Centrales eléctricas de Pequeños Productores,0,0,0,0,0,0.000,0,0.000,0.000,0,0,0,0.000
Centrales eléctricas de Cogeneración,0,0,0,0,0,0,0,0,0,0.000,0,0.000,0.000
Centrales eléctricas con Modalidad de Generación (LIE),0,0,0,0,0,0.000,0,0.000,0.000,0.000,0,0.000,0.000
Centrales eléctricas UPC,0,0,0,0,0,0,0,0,0,0.000,0,0,0.000
Generación Distribuida,0,0,0,0,0,0,0,,0,0,0,0,
,,,,,,,,,,,,,
Consumo propio del sector,0.000,0.000,0.000,-314.384,0,0,0,0,0,0,0,0,-314.384
Transferencias interproductos,0,0,0,-273.221,0,0,0,0,0,0,0,0,-273.221
Recirculaciones,0,0,0,-262.706,0,0,0,0,0,0,0,0,-262.706
Diferencia estadística,0.000,10.709,0.000,0.000,0.000,0.000,0.000,0,0.000,0.000,0.000,0,0.000
"Pérdidas (transp.,dist. y almac)",0,-29.977,0.000,0.000,0,0,0,0,0,0,0,0,-29.977
,,,,,,,,,,,,,
Consumo final total,77.016,0,0,0,0,0,0,8.064,0,39.813,254.117,0,379.010
,,,,,,,,,,,,,
Consumo final no energético,0,0,0,0,0,0,0,0,0,0.302,0,0,0.302
