Sistema de Información Energética,,,,,,,,,,,,,
Secretaría de Energía,,,,,,,,,,,,,
Dirección General de Planeación e Información Energéticas,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
Balance Nacional de Energía: Por fuente de energía primaria,,,,,,,,,,,,,
,,,,,,,,,,,,,
(petajoules),,,,,,,,,,,,,
,,,,,,,,,,,,,
,Carbón,Petróleo crudo,Condensados,Gas natural,Nucleo-energía,Hidro-energía,Geoenergía,Energía solar,Energía eólica,Bagazo de caña,Leña,Biogás,Total de energía primaria
2016,,,,,,,,,,,,,
,,,,,,,,,,,,,
Producción,254.165,4826.854,88.312,1779.684,109.954,110.510,132.595,11.089,37.361,110.138,251.558,1.912,7714.133
De otras fuentes,0,0,0,887.146,0,0,0,0,0,0,0,0,887.146
Gas residual de plantas de gas,0,0,0,496.908,0,0,0,0,0,0,0,0,496.908
Gas de formación empleado por PEP,0,0,0,390.237,0,0,0,0,0,0,0,0,390.237
Importación,239.848,0.000,0,0,0,0,0,0,0,0,0,0,239.848
Variación de inventarios,-2.667,-32.834,-0.665,7.630,0,0,0,0,0,0,0,0,-28.536
Oferta total,491.346,4794.020,87.647,2674.460,109.954,110.510,132.595,11.089,37.361,110.138,251.558,1.912,8812.590
Exportación,-0.075,-2685.640,0.000,0,0,0,0,0,0,0,0,0,-2685.715
No aprovechada,0,0.000,0.000,-219.106,0,0,0,0,0,-1.212,0,0,-220.317
Maquila-intercambio neto,0,0.000,0,0,0,0,0,0,0,0,0,0,0.000
Oferta interna bruta,491.271,2108.380,87.647,2455.354,109.954,110.510,132.595,11.089,37.361,108.926,251.558,1.912,5906.558
,,,,,,,,,,,,,
Total transformación,-427.509,-2094.942,-87.647,-1577.443,-109.954,-110.510,-132.595,-11.089,-37.361,-70.409,0,-1.912,-4661.373
Coquizadoras,-54.658,0,0,0,0,0,0,0,0,0,0,0,-54.658
Refinerías y despuntadoras,0,-2094.942,-2.635,0,0,0,0,0,0,0,0,0,-2097.577
Plantas de gas y fraccionadoras,0,0,-85.012,-1577.443,0,0,0,0,0,0,0,0,-1662.456
Centrales eléctricas CFE,-372.851,0,0,0,-109.954,-104.898,-130.104,-0.044,-0.673,0,0,0,-718.525
Centrales eléctricas PEMEX,0,0,0,0,0,0,0,0,0,0,0,0,0
Centrales eléctricas PIE,0,0,0,0,0,0,0,0,-8.190,0,0,0,-8.190
